Year,AC_Number,Constituency_Name,District,Candidate,Party,Party_Abbrev,Prev_Winner_Candidate,Prev_Winner_Party,Candidate_Is_Incumbent,Party_Is_Incumbent,Open_Seat,Criminal_Cases,Has_Criminal_Cases,Declared_Serious_Criminal_Cases,Serious_Criminal_Cases,MyNeta_Candidate_ID,Criminal_Cases_Source,Serious_Criminal_Cases_Source,Facebook_Followers,X_Followers,Instagram_Followers,YouTube_Subscribers,Google_Trends_Index,Social_Followers_Total,Social_Followers_Log1p,Social_Profile_Available,Social_Traction_Source
2021,12,Alipurduars,Jalpaiguri,Suman Kanjilal,Bharatiya Janta Party,BJP,Sourav Chakraborty,AITC,0,0,0,12,1,0,0,788,MyNeta/ADR West Bengal 2021 declared criminal cases list,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,102,Amdanga,North Twenty Four Parganas,Rafiqur Rahaman,All India Trinamool Congress,AITC,Rafiqur Rahaman,TMC,1,0,0,1,1,1,1,1482,MyNeta/ADR West Bengal 2021 declared criminal cases list,MyNeta/ADR West Bengal 2021 serious criminal cases list,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,181,Amta,Haora,Sukanta Kumar Paul,All India Trinamool Congress,AITC,Asit Mitra,INC,0,0,0,0,0,0,0,,Not listed by MyNeta/ADR as declaring criminal cases,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,200,Arambag,Hugli,Madhusudan Bag,Bharatiya Janta Party,BJP,Krishna Chandra Santra,TMC,0,0,0,0,0,0,0,,Not listed by MyNeta/ADR as declaring criminal cases,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,280,Asnsol Dakshin,Barddhaman,Agnimitra Paul,Bharatiya Janta Party,BJP,Tapas Banerjee,TMC,0,0,0,0,0,0,0,,Not listed by MyNeta/ADR as declaring criminal cases,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,281,Asansol Uttar,Barddhaman,Ghatak Moloy,All India Trinamool Congress,AITC,Moloy Ghatak,TMC,0,0,0,0,0,0,0,,Not listed by MyNeta/ADR as declaring criminal cases,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,101,Ashoknagar,North Twenty Four Parganas,Narayan Goswami,All India Trinamool Congress,AITC,Dhiman Roy,TMC,0,0,0,3,1,1,1,1476,MyNeta/ADR West Bengal 2021 declared criminal cases list,MyNeta/ADR West Bengal 2021 serious criminal cases list,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,273,Ausgram,Barddhaman,Abhedananda Thander,All India Trinamool Congress,AITC,Abhedananda Thander,TMC,1,0,0,0,0,0,0,,Not listed by MyNeta/ADR as declaring criminal cases,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,99,Baduria,North Twenty Four Parganas,Abdur Rahim Quazi,All India Trinamool Congress,AITC,Abdur Rahim Quazi,INC,1,0,0,1,1,1,1,1452,MyNeta/ADR West Bengal 2021 declared criminal cases list,MyNeta/ADR West Bengal 2021 serious criminal cases list,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
2021,94,Bagda,North Twenty Four Parganas,Biswajit Das,Bharatiya Janta Party,BJP,Dulal Chandra Bar,INC,0,0,0,0,0,0,0,,Not listed by MyNeta/ADR as declaring criminal cases,Not listed by MyNeta/ADR as declaring serious criminal cases,0,0,0,0,0,0,0,0,Not available in local files or MyNeta/ADR affidavit pages; set to 0 with availability flag 0
