Const. No.,Constituency Name,Candidate Name (BJP),Candidate Name (AITC),Candidate Name (INC),Candidate Name (LF)
1,Mekliganj (SC),???? ?????? ??? (Shri Dadhiram Roy),Paresh Chandra Adhikary,Smt. Ila Rani Roy,KAMAL ROY
2,Mathabhanga (SC),???? ????? ????????? (Shri Nisith Pramanik),Sablu Barman,Khitendra Nath Barman,KHAGEN BARMAN
3,Coochbehar Uttar (SC),???? ??????? ??? (Shri Sukumar Roy),Partha Pratim Roy,Partha Pratim Ishore,PRANAY KARJI
4,Coochbehar Dakshin,???? ???????? ??? ??? (Shri Rathindra Nath Bose),Avijit De Bhowmick (Hippy),Khokan Mian,NAZMUL ALAM SARKAR
5,Sitalkuchi (SC),??????? ???????? ????? (Smt. Savitri Barman),Harihar Das,Sukamal Barman,NABADIPTI ADHIKARY
6,Sitai (SC),???? ?????? ????? (Shri Ashosh Barma),Sangita Roy Basunia,Rabin Roy,
7,Dinhata,???? ??? ??? (Shri Ajay Roy),Udayan Guha,Harihar Ray Singha,BIKASH MONDAL
8,Natabari,???? ?????? ???? ??? (Shri Girija Shankar Roy),Sailen Barma,Biswajit Sarkar,DHANANJOY RAVA (SC)
9,Tufanganj,??????? ????? ???? ??? (Smt. Malati Rava Roy),Shib Sankar Paul,Debendra Nath Barma,SHYAMAL ROY
10,Kumargram (ST),???? ???? ????? ????? (Shri Manoj Kumar Oraon),Rajeev Tirkey,Sudham Lama,KISHORE MINZ
11,Kalchini (ST),???? ????? ???? (Shri Bishal Lama),Birendra Bara,Anjan Chik Baraik,PASSANG SHERPA
12,Alipurduar,???? ?????? ??? (Shri Paritosh Das),Suman Kanjilal,,
13,Falakata (SC),???? ???? ????? (Shri Deepak Barman),Subhash Chandra Roy,Akshoy Kumar Barman,KAMAL KISHORE ROY
14,Madarihat (ST),???? ??????? ?????? (Shri Lakshman Limbu),Jayprakash Toppo,Dr. Joy Prafulla Lakra,SUBHAS LOHAR
15,Dhupguri (SC),???? ???? ????? ??? (Shri Naresh Chandra Roy),Dr Nirmal Chandra Roy,Harish Chandra Roy,NIRANJAN ROY
16,Maynaguri (SC),???? ????? ??? (Shri Dalim Roy),Ram Mohan Roy,Jogen Sarkar,SUDEB ROY
17,Jalpaiguri (SC),???? ???? ??? ??????? (Shri Ananta Deb Adhikary),Krishna Das,Sudipto Mohonto,DEBRAJ BARMAN
18,Rajganj (SC),???? ????? ????? (????? ?????) (Shri Dinesh Sarkar (Haradhan Sarkar)),Swapna Barman,Tushar Kanti Roy,KHARENDRA NATH ROY
