Year,AC_Number,Candidate,Criminal_Cases,Serious_Criminal_Cases,Facebook_Followers,X_Followers,Instagram_Followers,YouTube_Subscribers,Google_Trends_Index
2021,12,Suman Kanjilal,12,0,0,0,0,0,0
2021,102,Rafiqur Rahaman,1,1,0,0,0,0,0
2021,181,Sukanta Kumar Paul,0,0,0,0,0,0,0
2021,200,Madhusudan Bag,0,0,0,0,0,0,0
2021,280,Agnimitra Paul,0,0,0,0,0,0,0
2021,281,Ghatak Moloy,0,0,0,0,0,0,0
2021,101,Narayan Goswami,3,1,0,0,0,0,0
2021,273,Abhedananda Thander,0,0,0,0,0,0,0
2021,99,Abdur Rahim Quazi,1,1,0,0,0,0,0
2021,94,Biswajit Das,0,0,0,0,0,0,0
2021,240,Sushanta Mahato,0,0,0,0,0,0,0
2021,180,Arunava Sen (Raja),1,1,0,0,0,0,0
2021,72,Subrata Maitra (Kanchan),0,1,0,0,0,0,0
2021,54,Chandana Sarkar,0,0,0,0,0,0,0
2021,191,Manoranjan Bapari,0,0,0,0,0,0,0
2021,239,Baneswar Mahato,3,1,0,0,0,0,0
2021,169,Rana Chatterjee,0,0,0,0,0,0,0
2021,161,Subrata Mukherjee,2,0,0,0,0,0,0
2021,39,Ashok Kumar Lahiri,0,0,0,0,0,0,0
2021,238,Rajib Lochan Saren,0,0,0,0,0,0,0
2021,96,Swapan Majumder,0,0,0,0,0,0,0
2021,95,Ashok Kirtania,0,0,0,0,0,0,0
2021,252,Niladri Sekhar Dana,0,0,0,0,0,0,0
2021,283,Bidhan Upadhyay,1,1,0,0,0,0,0
2021,113,Tapas Roy,0,0,0,0,0,0,0
2021,119,Chiranjeet Chakrabarti,0,0,0,0,0,0,0
2021,260,Khokan Das,0,0,0,0,0,0,0
2021,266,Nisith Kumar Malik,0,0,0,0,0,0,0
2021,253,Alok Mukherjee,0,0,0,0,0,0,0
2021,108,Raju Chakraborty (RAJ),0,0,0,0,0,0,0
2021,140,Biman Banerjee,0,0,0,0,0,0,0
2021,137,Bivas Sardar (VOBO),0,0,0,0,0,0,0
2021,128,Shyamal Mondal,0,0,0,0,0,0,0
2021,124,Dr. Saptarshi Banerjee,0,0,0,0,0,0,0
2021,125,Rafikul Islam Mondal,2,1,0,0,0,0,0
2021,154,Partha Chatterjee,0,0,0,0,0,0,0
2021,153,Ratna Chatterjee,5,1,0,0,0,0,0
2021,71,Hasanuzzaman Sk,4,1,0,0,0,0,0
2021,164,Paresh Paul,3,1,0,0,0,0,0
2021,159,Sobhandeb Chattopadhyay,0,0,0,0,0,0,0
2021,62,Idris Ali,0,0,0,0,0,0,0
2021,214,Rabindranath Maity,0,0,0,0,0,0,0
