AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER,squeeze_pct
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9967326348813986,0.0015588988067410281,0.9967326348813986,0.0017084663118604076,0.1
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.6970954268605756,0.6970954268605756,0.24216561982452553,0.06073895331489885,0.22000000000000003
181,Amta,Haora,GEN,All India Trinamool Congress,0.8029379039397149,0.8029379039397149,0.1612587464160743,0.035803349644210884,0.1
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.9942011094572087,0.005299517454191556,0.9942011094572087,0.0004993730885996274,0.14
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.9956508712584486,0.003047717920460173,0.9956508712584486,0.001301410821091127,0.16000000000000003
281,Asansol Uttar,Barddhaman,GEN,Bharatiya Janta Party,0.5788604943876474,0.39295724960700656,0.5788604943876474,0.028182256005346063,0.16000000000000003
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.6888669321349492,0.6888669321349492,0.25276704446755965,0.0583660233974913,0.22000000000000003
273,Ausgram,Barddhaman,SC,All India Trinamool Congress,0.5004573223435957,0.5004573223435957,0.4699401040338243,0.02960257362257981,0.16000000000000003
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7587111156648322,0.7587111156648322,0.1808113826976775,0.06047750163749026,0.22000000000000003
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9995843165766588,0.00013489250032834503,0.9995843165766588,0.00028079092301287756,0.22000000000000003
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.6958708767786376,0.6958708767786376,0.27972586519228154,0.024403258029080693,0.1
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.8963325636656189,0.8963325636656189,0.07396265564165175,0.029704780692729523,0.1
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.9960534272409448,0.0019163486206268247,0.9960534272409448,0.0020302241384283918,0.25
54,Baisnabnagar,Maldah,GEN,All India Trinamool Congress,0.5045084595066531,0.5045084595066531,0.4396648985996958,0.0558266418936509,0.25
191,Balagarh,Hugli,SC,Bharatiya Janta Party,0.5632060423997881,0.40961624105782907,0.5632060423997881,0.027177716542382865,0.14
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.9948971684344196,0.004401148547235969,0.9948971684344196,0.0007016830183444894,0.1
169,Bally,Haora,GEN,All India Trinamool Congress,0.8163667359897951,0.8163667359897951,0.11836156759156617,0.06527169641863857,0.1
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.8581894411609777,0.8581894411609777,0.10037736707124253,0.041433191767779806,0.14
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.6098921252745924,0.6098921252745924,0.29190234438451507,0.09820553034089254,0.19999999999999998
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.7379554001461788,0.7379554001461788,0.22574811556717597,0.036296484286645184,0.1
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9981373896010238,0.0015391702785637396,0.9981373896010238,0.0003234401204123616,0.22000000000000003
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9987745805824804,0.0009670877634060994,0.9987745805824804,0.00025833165411345,0.22000000000000003
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.997217600071612,0.0022781786888247447,0.997217600071612,0.000504221239563398,0.1
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.7754204450509469,0.7754204450509469,0.17844674127365057,0.04613281367540247,0.16000000000000003
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7866213937645898,0.7866213937645898,0.14840091028136115,0.06497769595404905,0.22000000000000003
