AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER,total_all_factors
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9968887672669225,0.001324960711746224,0.9968887672669225,0.0017862720213313217,0.2
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.4902851712014515,0.4902851712014515,0.3964349494950147,0.11327987930353377,0.34
181,Amta,Haora,GEN,All India Trinamool Congress,0.621212362438648,0.621212362438648,0.29690960491537577,0.08187803264597625,0.25
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.9949183621039637,0.004224853865858483,0.9949183621039637,0.0008567840301777642,0.27
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.9961547115620695,0.0022928312331620985,0.9961547115620695,0.0015524572047684515,0.33
281,Asansol Uttar,Barddhaman,GEN,Bharatiya Janta Party,0.6548866606355493,0.286415048576172,0.6548866606355493,0.05869829078827851,0.33
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.4791577204228353,0.4791577204228353,0.4089450980794898,0.11189718149767489,0.35
273,Ausgram,Barddhaman,SC,Bharatiya Janta Party,0.5526149001174072,0.3860728384879179,0.5526149001174072,0.061312261394674876,0.27
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.5247150715363105,0.5247150715363105,0.3563180826809823,0.1189668457827072,0.35
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9996079273918862,9.948204479621725e-05,0.9996079273918862,0.0002925905633176687,0.35
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.5776168078964165,0.5776168078964165,0.3667644808910151,0.055618711212568485,0.19
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.6896362440634336,0.6896362440634336,0.22918584057646982,0.08117791536009654,0.25
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.9963893936778436,0.0014130701633946492,0.9963893936778436,0.002197536158761816,0.35
54,Baisnabnagar,Maldah,GEN,Bharatiya Janta Party,0.5479111124810577,0.356344349250412,0.5479111124810577,0.09574453826853026,0.35
191,Balagarh,Hugli,SC,Bharatiya Janta Party,0.6287684517588955,0.3178798613542934,0.6287684517588955,0.05335168688681106,0.27
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.9953162567042824,0.0037731960754245606,0.9953162567042824,0.0009105472202932559,0.19
169,Bally,Haora,GEN,All India Trinamool Congress,0.610067031258873,0.610067031258873,0.27413306411493576,0.11579990462619125,0.28
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.5958837374738617,0.5958837374738617,0.29751324304538734,0.10660301948075092,0.34
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.4469656421772537,0.4469656421772537,0.41412783246056584,0.1389065253621806,0.3099999999999999
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.6113665948198256,0.6113665948198256,0.31970034188614216,0.06893306329403226,0.19
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9984069589463989,0.0011349852235824885,0.9984069589463989,0.0004580558300186686,0.35
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9989439103075757,0.0007131668772029068,0.9989439103075757,0.0003429228152213156,0.35
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.9974457088970724,0.0019362313314531979,0.9974457088970724,0.0006180597714745454,0.2
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.5484202427334723,0.5484202427334723,0.3480949089154848,0.10348484835104292,0.33
