AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER,antiinc_squeeze,turnout_impact,combined_factor
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9967493699900557,0.0015505306256313565,0.9967493699900557,0.0017000993843128834,0.05,0.05,0.1
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7727534548753658,0.7727534548753658,0.19522124002820498,0.03202530509642905,0.1,0.02,0.12000000000000001
181,Amta,Haora,GEN,All India Trinamool Congress,0.7613147593207973,0.7613147593207973,0.19667859125355366,0.04200664942564923,0.1,0.05,0.15000000000000002
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.9942536663923894,0.005302751077179404,0.9942536663923894,0.00044358253043124936,0.08,0.05,0.13
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.9957228649308283,0.002994576668962704,0.9957228649308283,0.001282558400209011,0.09,0.08,0.16999999999999998
281,Asansol Uttar,Barddhaman,GEN,Bharatiya Janta Party,0.5871485810681747,0.3870401989509938,0.5871485810681747,0.025811219980831582,0.09,0.08,0.16999999999999998
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7398276866318279,0.7398276866318279,0.22417748576455943,0.035994827603612715,0.1,0.05,0.15000000000000002
273,Ausgram,Barddhaman,SC,All India Trinamool Congress,0.5231267418057238,0.5231267418057238,0.4586130685502339,0.018260189644042114,0.09,0.02,0.11
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8168063071550515,0.8168063071550515,0.147359712579551,0.03583398026539762,0.1,0.05,0.15000000000000002
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.999582241862062,0.00014151021048273104,0.999582241862062,0.00027624792745518375,0.1,0.05,0.15000000000000002
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.7016792243268304,0.7016792243268304,0.27942332969632977,0.01889744597683991,0.04,0.05,0.09
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.8492324622878574,0.8492324622878574,0.1140993243582429,0.036668213353899526,0.1,0.05,0.15000000000000002
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.9959950072086948,0.002061706134964063,0.9959950072086948,0.0019432866563409612,0.07,0.08,0.15000000000000002
54,Baisnabnagar,Maldah,GEN,All India Trinamool Congress,0.5666282501734456,0.5666282501734456,0.4027387923151505,0.03063295751140389,0.08,0.05,0.13
191,Balagarh,Hugli,SC,Bharatiya Janta Party,0.5654182760067529,0.41161908341552766,0.5654182760067529,0.022962640577719445,0.08,0.05,0.13
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.9949206502413445,0.004413136227750831,0.9949206502413445,0.0006662135309047938,0.04,0.05,0.09
169,Bally,Haora,GEN,All India Trinamool Congress,0.7494408048134686,0.7494408048134686,0.17313969185255268,0.07741950333397864,0.1,0.08,0.18
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.8026061199626673,0.8026061199626673,0.14871973215962103,0.04867414787771166,0.12,0.08,0.2
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.6660204004159664,0.6660204004159664,0.2570492073332729,0.07693039225076061,0.06,0.05,0.11
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.7443690801119247,0.7443690801119247,0.22510401549010706,0.03052690439796815,0.04,0.05,0.09
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9981136402377327,0.0016147570398670698,0.9981136402377327,0.0002716027224003208,0.1,0.05,0.15000000000000002
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9987596794871615,0.0010145607013548929,0.9987596794871615,0.00022575981148358483,0.1,0.05,0.15000000000000002
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.997242062836687,0.002265958170377372,0.997242062836687,0.0004919789929356147,0.05,0.05,0.1
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.7655622949459323,0.7655622949459323,0.19290815342714615,0.041529551626921624,0.09,0.08,0.16999999999999998
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8203051619290032,0.8203051619290032,0.1333380393112605,0.046356798759736306,0.1,0.08,0.18
119,Barasat,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8220620461677636,0.8220620461677636,0.13222013893599366,0.04571781489624285,0.1,0.05,0.15000000000000002
260,Burdwan Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.49150838185810447,0.4823647028889362,0.49150838185810447,0.026126915252959414,0.09,0.05,0.14
266,Burdwan Uttar,Barddhaman,SC,All India Trinamool Congress,0.7665346253841797,0.7665346253841797,0.19627835529179016,0.03718701932403008,0.09,0.02,0.11
253,Barjora,Bankura,GEN,All India Trinamool Congress,0.5255759776105848,0.5255759776105848,0.4570586697892061,0.017365352600209022,0.05,0.05,0.1
108,Barrackpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7792611827143551,0.7792611827143551,0.1447657010115178,0.07597311627412708,0.1,0.08,0.18
140,Baruipur Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8788092663802319,0.8788092663802319,0.09140773888856592,0.029782994731202148,0.1,0.02,0.12000000000000001
137,Baruipur Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8442405811405699,0.8442405811405699,0.11951695336035759,0.03624246549907253,0.1,0.02,0.12000000000000001
128,Basanti,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8481751971405296,0.8481751971405296,0.1154185898064187,0.0364062130530518,0.1,0.05,0.15000000000000002
124,Basirhat Dakshin,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8145748482339354,0.8145748482339354,0.13453822068459795,0.05088693108146662,0.1,0.05,0.15000000000000002
125,Basirhat Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7831530645085157,0.7831530645085157,0.10507413837740916,0.11177279711407506,0.1,0.02,0.12000000000000001
154,Behala Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8092884069297963,0.8092884069297963,0.14292693293030276,0.047784660139900945,0.1,0.08,0.18
153,Behala Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7903021201577447,0.7903021201577447,0.16242388695997462,0.04727399288228071,0.1,0.08,0.18
71,Beldanga,Murshidabad,GEN,All India Trinamool Congress,0.872659892517453,0.872659892517453,0.09796670082482055,0.029373406657726527,0.07,0.05,0.12000000000000001
164,Beleghata,Kolkata,GEN,All India Trinamool Congress,0.801481419775264,0.801481419775264,0.14976553631338071,0.04875304391135522,0.12,0.08,0.2
159,Bhabanipur,Kolkata,GEN,All India Trinamool Congress,0.7996589432409461,0.7996589432409461,0.15071898204881606,0.049622074710237864,0.12,0.08,0.2
62,Bhagabangola,Murshidabad,GEN,All India Trinamool Congress,0.7602340382634948,0.7602340382634948,0.2077924553050517,0.03197350643145356,0.07,0.05,0.12000000000000001
214,Bhagabanpur,Purba Medinipur,GEN,Bharatiya Janta Party,0.7712237302914497,0.21606322344902193,0.7712237302914497,0.01271304625952829,0.06,0.02,0.08
148,Bhangar,South  Twenty Four Parganas,GEN,OTHER,0.8016507345635894,0.03618885057412237,0.16216041486228824,0.8016507345635894,0.1,0.02,0.12000000000000001
69,Bharatpur,Murshidabad,GEN,All India Trinamool Congress,0.7604671163929342,0.7604671163929342,0.2011528165961916,0.03838006701087426,0.07,0.08,0.15000000000000002
267,Bhatar,Barddhaman,GEN,All India Trinamool Congress,0.8611790906108009,0.8611790906108009,0.10494548444891603,0.033875424940283075,0.09,0.05,0.14
105,Bhatpara,North Twenty Four Parganas,GEN,Bharatiya Janta Party,0.9782248912489012,0.014935700940353994,0.9782248912489012,0.006839407810744926,0.1,0.08,0.18
116,Bidhannagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.6533456370619721,0.6533456370619721,0.2692307305662809,0.077423632371747,0.1,0.08,0.18
103,Bijpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.464737877610285,0.464737877610285,0.41855488158356535,0.1167072408061496,0.1,0.08,0.18
237,Binpur,Paschim Medinipur,ST,All India Trinamool Congress,0.88890707006189,0.88890707006189,0.08606478665710854,0.025028143281001426,0.05,0.05,0.1
146,Bishnupur (SC),South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8377673513482208,0.8377673513482208,0.11959846981700681,0.04263417883477234,0.1,0.05,0.15000000000000002
255,Bishnupur,Bankura,SC,Bharatiya Janta Party,0.9953871854382166,0.0038037556683463104,0.9953871854382166,0.0008090588934371756,0.05,0.02,0.07
286,Bolpur,Birbhum,GEN,All India Trinamool Congress,0.8533685693067372,0.8533685693067372,0.11861687878261121,0.028014551910651574,0.05,0.05,0.1
156,Budge Budge,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8533132955365751,0.8533132955365751,0.11040472849910225,0.03628197596432266,0.1,0.05,0.15000000000000002
67,Burwan,Murshidabad,SC,All India Trinamool Congress,0.5005349859097405,0.5005349859097405,0.4385674389029554,0.060897575187303966,0.07,0.05,0.12000000000000001
138,Canning Paschim,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8270443168061216,0.8270443168061216,0.13586100440397644,0.037094678789902004,0.1,0.05,0.15000000000000002
139,Canning Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7420911135407825,0.7420911135407825,0.14615739417986837,0.111751492279349,0.1,0.02,0.12000000000000001
91,Chakdaha,Nadia,GEN,Bharatiya Janta Party,0.9926714620550593,0.006354460642181691,0.9926714620550593,0.0009740773027589921,0.06,0.05,0.11
31,Chakulia,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7506401183328312,0.7506401183328312,0.19050812645746082,0.058851755209707944,0.06,0.08,0.14
187,Champdani,Hugli,GEN,All India Trinamool Congress,0.7862934561154746,0.7862934561154746,0.17229526568314144,0.04141127820138395,0.08,0.08,0.16
45,Chanchal,Maldah,GEN,All India Trinamool Congress,0.7826252070753827,0.7826252070753827,0.18602519762874256,0.03134959529587469,0.08,0.05,0.13
189,Chandannagar,Hugli,GEN,All India Trinamool Congress,0.8591029485429706,0.8591029485429706,0.1068641695414215,0.03403288191560787,0.08,0.05,0.13
211,Chandipur,Purba Medinipur,GEN,All India Trinamool Congress,0.6501913503049801,0.6501913503049801,0.32934972599111806,0.020458923703901816,0.06,0.02,0.08
194,Chanditala,Hugli,GEN,All India Trinamool Congress,0.8641532964213391,0.8641532964213391,0.10285735112236914,0.032989352456291865,0.08,0.05,0.13
232,Chandrakona,Paschim Medinipur,SC,Bharatiya Janta Party,0.863740085136088,0.12290576934620062,0.863740085136088,0.01335414551771147,0.05,0.02,0.07
82,Chapra,Nadia,GEN,All India Trinamool Congress,0.6402288781301788,0.6402288781301788,0.33753197515783956,0.022239146711981655,0.06,0.05,0.11
248,Chhatna,Bankura,GEN,Bharatiya Janta Party,0.9988452837658804,0.0008423479673886053,0.9988452837658804,0.0003123682667310296,0.05,0.05,0.1
28,Chopra,Uttar Dinajpur,GEN,Bharatiya Janta Party,0.8377206731381284,0.1524799617036359,0.8377206731381284,0.009799365158235634,0.06,0.05,0.11
162,Chowrangee,Kolkata,GEN,All India Trinamool Congress,0.7981871696106246,0.7981871696106246,0.15214266733334975,0.04967016305602561,0.12,0.08,0.2
190,Chunchura,Hugli,GEN,Bharatiya Janta Party,0.6381287781387651,0.3146520215366528,0.6381287781387651,0.047219200324582156,0.08,0.05,0.13
4,Cooch Behar Dakshin,Koch Bihar,GEN,Bharatiya Janta Party,0.875812159839776,0.0781054482601547,0.875812159839776,0.04608239190006931,0.05,0.05,0.1
3,Coochbehar Uttar,Koch Bihar,SC,Bharatiya Janta Party,0.9982931591425162,0.0006380968730240186,0.9982931591425162,0.001068743984459813,0.05,0.05,0.1
19,Dabgram-Fulbari,Jalpaiguri,GEN,Bharatiya Janta Party,0.9962014980279458,0.0006601790976130076,0.9962014980279458,0.003138322874441083,0.05,0.05,0.1
219,Dantan,Paschim Medinipur,GEN,Bharatiya Janta Party,0.5526848053478551,0.4315379913539149,0.5526848053478551,0.015777203298229993,0.05,0.05,0.1
23,Darjeeling,Darjiling,GEN,Bharatiya Janta Party,0.9979759101824373,0.00028803212963569267,0.9979759101824373,0.0017360576879270136,0.04,0.08,0.12
230,Daspur,Paschim Medinipur,GEN,Bharatiya Janta Party,0.7560199965863413,0.2237159841311702,0.7560199965863413,0.020264019282488433,0.05,0.08,0.13
229,Debra,Paschim Medinipur,GEN,All India Trinamool Congress,0.6022664598599119,0.6022664598599119,0.37729447808869687,0.020439062051391215,0.05,0.05,0.1
120,Deganga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8721677755030435,0.8721677755030435,0.09689507496620184,0.030937149530754608,0.1,0.02,0.12000000000000001
197,Dhanekhali,Hugli,SC,All India Trinamool Congress,0.6443178871169721,0.6443178871169721,0.32092445659007107,0.034757656292956865,0.08,0.05,0.13
15,Dhupguri,Jalpaiguri,SC,Bharatiya Janta Party,0.9926349095214753,0.0007645848915160474,0.9926349095214753,0.006600505587008781,0.05,0.02,0.07
143,Diamond Harbour,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.7738717965679931,0.7738717965679931,0.16799142715964585,0.05813677627236109,0.1,0.02,0.12000000000000001
7,Dinhata,Koch Bihar,GEN,Bharatiya Janta Party,0.9975159573794372,0.00046779171283757424,0.9975159573794372,0.0020162509077251735,0.05,0.05,0.1
184,Domjur,Haora,GEN,All India Trinamool Congress,0.8182726291447173,0.8182726291447173,0.13133680665594064,0.050390564199342174,0.1,0.02,0.12000000000000001
75,Domkal,Murshidabad,GEN,All India Trinamool Congress,0.7896610690467849,0.7896610690467849,0.17727010603577742,0.03306882491743757,0.07,0.05,0.12000000000000001
284,Dubrajpur,Birbhum,SC,Bharatiya Janta Party,0.9919339765391583,0.007514602030378362,0.9919339765391583,0.0005514214304633131,0.05,0.05,0.1
114,Dum Dum,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7872329553603272,0.7872329553603272,0.1654283490590243,0.04733869558064846,0.1,0.08,0.18
110,Dum Dum Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.733952703244297,0.733952703244297,0.2269092100863546,0.03913808666934848,0.1,0.05,0.15000000000000002
277,Durgapur Paschim,Barddhaman,GEN,Bharatiya Janta Party,0.9909659245798887,0.007791199159683629,0.9909659245798887,0.0012428762604277557,0.09,0.08,0.16999999999999998
276,Durgapur Purba,Barddhaman,GEN,Bharatiya Janta Party,0.9687829466969204,0.027270861650703176,0.9687829466969204,0.003946191652376391,0.09,0.08,0.16999999999999998
218,Egra,Purba Medinipur,GEN,All India Trinamool Congress,0.7435609928644485,0.7435609928644485,0.22263276119958697,0.03380624593596438,0.06,0.05,0.11
51,Englishbazar,Maldah,GEN,Bharatiya Janta Party,0.9962440091960142,0.0022480871877969353,0.9962440091960142,0.001507903616188868,0.08,0.05,0.13
163,Entally,Kolkata,GEN,All India Trinamool Congress,0.8044703547855188,0.8044703547855188,0.14632209411086175,0.04920755110361949,0.12,0.08,0.2
13,Falakata,Jalpaiguri,SC,Bharatiya Janta Party,0.9976813636660435,0.0012853544662669665,0.9976813636660435,0.0010332818676893423,0.05,0.05,0.1
144,Falta,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8794408599568376,0.8794408599568376,0.09027984837695543,0.030279291666206996,0.1,0.02,0.12000000000000001
55,Farakka,Murshidabad,GEN,All India Trinamool Congress,0.8739943136605497,0.8739943136605497,0.09572186538262419,0.030283820956825983,0.07,0.05,0.12000000000000001
97,Gaighata,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9984480006101137,0.00138848074208583,0.9984480006101137,0.0001635186478003531,0.1,0.05,0.15000000000000002
274,Galsi,Barddhaman,SC,All India Trinamool Congress,0.8458328098829214,0.8458328098829214,0.11994822786714861,0.034218962249929964,0.09,0.05,0.14
41,Gangarampur,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.984326700819795,0.007397760401118752,0.984326700819795,0.00827553877908617,0.06,0.05,0.11
233,Garbeta,Paschim Medinipur,GEN,All India Trinamool Congress,0.7997337674653173,0.7997337674653173,0.1825721160292663,0.01769411650541644,0.05,0.02,0.07
44,Gazole,Maldah,SC,Bharatiya Janta Party,0.9908905466325892,0.006077521197299725,0.9908905466325892,0.0030319321701110496,0.08,0.05,0.13
231,Ghatal,Paschim Medinipur,SC,Bharatiya Janta Party,0.996516813132563,0.002611335089926265,0.996516813132563,0.0008718517775106121,0.05,0.05,0.1
30,Goalpokhar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.7379673044746827,0.7379673044746827,0.1880747842462973,0.07395791127902007,0.06,0.08,0.14
201,Goghat,Hugli,SC,Bharatiya Janta Party,0.9972353088170132,0.0024061182978154837,0.9972353088170132,0.00035857288517136105,0.08,0.02,0.1
221,Gopiballavpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.7780987892315274,0.7780987892315274,0.1976411409663068,0.02426006980216582,0.05,0.05,0.1
127,Gosaba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8302325013718428,0.8302325013718428,0.13136653512695445,0.03840096350120268,0.1,0.05,0.15000000000000002
