AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Candidate_Present,Candidate_Placeholder,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9966654177840254,0,0,0.001676319573245767,0.9966654177840254,0.0016582626427286795
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8713783221355813,0,0,0.8713783221355813,0.12190053773343283,0.006721140130985881
181,Amta,Haora,GEN,All India Trinamool Congress,0.8863311507870955,0,0,0.8863311507870955,0.1035034253695409,0.010165423843363663
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.9938705803418804,0,0,0.005876746672835286,0.9938705803418804,0.0002526729852843161
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.9954304631204278,0,0,0.0034326802802230297,0.9954304631204278,0.0011368565993490904
281,Asansol Uttar,Barddhaman,GEN,Bharatiya Janta Party,0.5407850984874897,0,0,0.45212293800073766,0.5407850984874897,0.0070919635117727255
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8605084341265826,0,0,0.8605084341265826,0.13460428507188246,0.00488728080153491
273,Ausgram,Barddhaman,SC,All India Trinamool Congress,0.5792477288011354,0,0,0.5792477288011354,0.41813052182893695,0.0026217493699276727
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9532444041859455,0,0,0.9532444041859455,0.045387335411841125,0.0013682604022134765
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9995702806833028,0,0,0.0001594490778822258,0.9995702806833028,0.0002702702388150172
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.7654302091409361,0,0,0.7654302091409361,0.23256906937730382,0.002000721481760205
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.9924954222064511,0,0,0.9924954222064511,0.0066902040013573725,0.0008143737921914833
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.9958204144193783,0,0,0.0023232515546912046,0.9958204144193783,0.001856334025930554
54,Baisnabnagar,Maldah,GEN,All India Trinamool Congress,0.6409208596029713,0,0,0.6409208596029713,0.3486380285252586,0.01044111187177006
