AC_Number,Constituency_Name,Party,Candidate
1,Mekliganj (SC),AITC,Paresh Chandra Adhikary
1,Mekliganj (SC),BJP,???? ?????? ??? (Shri Dadhiram Roy)
1,Mekliganj (SC),INC,Smt. Ila Rani Roy
1,Mekliganj (SC),LF,KAMAL ROY
2,Mathabhanga (SC),AITC,Sablu Barman
2,Mathabhanga (SC),BJP,???? ????? ????????? (Shri Nisith Pramanik)
2,Mathabhanga (SC),INC,Khitendra Nath Barman
2,Mathabhanga (SC),LF,KHAGEN BARMAN
3,Coochbehar Uttar (SC),AITC,Partha Pratim Roy
3,Coochbehar Uttar (SC),BJP,???? ??????? ??? (Shri Sukumar Roy)
3,Coochbehar Uttar (SC),INC,Partha Pratim Ishore
3,Coochbehar Uttar (SC),LF,PRANAY KARJI
4,Coochbehar Dakshin,AITC,Avijit De Bhowmick (Hippy)
4,Coochbehar Dakshin,BJP,???? ???????? ??? ??? (Shri Rathindra Nath Bose)
4,Coochbehar Dakshin,INC,Khokan Mian
4,Coochbehar Dakshin,LF,NAZMUL ALAM SARKAR
5,Sitalkuchi (SC),AITC,Harihar Das
5,Sitalkuchi (SC),BJP,??????? ???????? ????? (Smt. Savitri Barman)
5,Sitalkuchi (SC),INC,Sukamal Barman
5,Sitalkuchi (SC),LF,NABADIPTI ADHIKARY
6,Sitai (SC),AITC,Sangita Roy Basunia
6,Sitai (SC),BJP,???? ?????? ????? (Shri Ashosh Barma)
6,Sitai (SC),INC,Rabin Roy
7,Dinhata,AITC,Udayan Guha
7,Dinhata,BJP,???? ??? ??? (Shri Ajay Roy)
7,Dinhata,INC,Harihar Ray Singha
7,Dinhata,LF,BIKASH MONDAL
8,Natabari,AITC,Sailen Barma
8,Natabari,BJP,???? ?????? ???? ??? (Shri Girija Shankar Roy)
8,Natabari,INC,Biswajit Sarkar
8,Natabari,LF,DHANANJOY RAVA (SC)
9,Tufanganj,AITC,Shib Sankar Paul
9,Tufanganj,BJP,??????? ????? ???? ??? (Smt. Malati Rava Roy)
9,Tufanganj,INC,Debendra Nath Barma
9,Tufanganj,LF,SHYAMAL ROY
10,Kumargram (ST),AITC,Rajeev Tirkey
10,Kumargram (ST),BJP,???? ???? ????? ????? (Shri Manoj Kumar Oraon)
10,Kumargram (ST),INC,Sudham Lama
10,Kumargram (ST),LF,KISHORE MINZ
11,Kalchini (ST),AITC,Birendra Bara
11,Kalchini (ST),BJP,???? ????? ???? (Shri Bishal Lama)
11,Kalchini (ST),INC,Anjan Chik Baraik
11,Kalchini (ST),LF,PASSANG SHERPA
12,Alipurduar,AITC,Suman Kanjilal
12,Alipurduar,BJP,???? ?????? ??? (Shri Paritosh Das)
13,Falakata (SC),AITC,Subhash Chandra Roy
13,Falakata (SC),BJP,???? ???? ????? (Shri Deepak Barman)
13,Falakata (SC),INC,Akshoy Kumar Barman
13,Falakata (SC),LF,KAMAL KISHORE ROY
14,Madarihat (ST),AITC,Jayprakash Toppo
14,Madarihat (ST),BJP,???? ??????? ?????? (Shri Lakshman Limbu)
14,Madarihat (ST),INC,Dr. Joy Prafulla Lakra
14,Madarihat (ST),LF,SUBHAS LOHAR
15,Dhupguri (SC),AITC,Dr Nirmal Chandra Roy
15,Dhupguri (SC),BJP,???? ???? ????? ??? (Shri Naresh Chandra Roy)
15,Dhupguri (SC),INC,Harish Chandra Roy
15,Dhupguri (SC),LF,NIRANJAN ROY
16,Maynaguri (SC),AITC,Ram Mohan Roy
16,Maynaguri (SC),BJP,???? ????? ??? (Shri Dalim Roy)
16,Maynaguri (SC),INC,Jogen Sarkar
16,Maynaguri (SC),LF,SUDEB ROY
17,Jalpaiguri (SC),AITC,Krishna Das
17,Jalpaiguri (SC),BJP,???? ???? ??? ??????? (Shri Ananta Deb Adhikary)
17,Jalpaiguri (SC),INC,Sudipto Mohonto
17,Jalpaiguri (SC),LF,DEBRAJ BARMAN
18,Rajganj (SC),AITC,Swapna Barman
18,Rajganj (SC),BJP,???? ????? ????? (????? ?????) (Shri Dinesh Sarkar (Haradhan Sarkar))
18,Rajganj (SC),INC,Tushar Kanti Roy
18,Rajganj (SC),LF,KHARENDRA NATH ROY
19,Dabgram-Phulbari,AITC,Ranjan Shil Sharma
19,Dabgram-Phulbari,BJP,??????? ???? ?????? (Smt. Sikha Chatterjee)
19,Dabgram-Phulbari,INC,Rohit Singh Sisodiya (Guddu)
19,Dabgram-Phulbari,LF,DILIP SINGH
20,Mal (ST),AITC,Bulu Chik Baraik
20,Mal (ST),BJP,???? ????? ????? (Shri Sukra Munda)
20,Mal (ST),INC,Rakesh Kujur
20,Mal (ST),LF,MANU ORAON
21,Nagrakata (ST),AITC,Sanjay Kujur
21,Nagrakata (ST),BJP,???? ???? ????? (Shri Puna Bhengra)
21,Nagrakata (ST),INC,Shinu Munda
21,Nagrakata (ST),LF,DILKUMAR ORAON
22,Kalimpong,AITC,*********
22,Kalimpong,BJP,???? ??? ?????? (Shri Bharat Chetri)
22,Kalimpong,INC,Santa Kumar Pradhan
23,Darjeeling,AITC,*********
23,Darjeeling,BJP,???? ???? ??? (Shri Noman Rai)
23,Darjeeling,INC,Madhap Rai
24,Kurseong,AITC,*********
24,Kurseong,BJP,???? ???? ???? (Shri Sonam Lama)
24,Kurseong,INC,Saroj Kumar Khatri
25,Matigara-Naxalbari (SC),AITC,Sankar Malakar
25,Matigara-Naxalbari (SC),BJP,???? ?????? ????? (Shri Anandamay Barman)
25,Matigara-Naxalbari (SC),INC,Amitava Sarkar
25,Matigara-Naxalbari (SC),LF,JHAREN ROY
26,Siliguri,AITC,Goutam Deb
26,Siliguri,BJP,??. ???? ??? (Dr. Shankar Ghosh)
26,Siliguri,INC,Aloke Dhara
26,Siliguri,LF,SHARADINDU CHAKRABORTY
27,Phansidewa (ST),AITC,Reena Toppo Ekka
27,Phansidewa (ST),BJP,???? ?????? ?????? (Shri Durga Murmu)
27,Phansidewa (ST),INC,Smt. Nabanita Tirkey
28,Chopra,AITC,Hamidul Rahaman
28,Chopra,BJP,???? ???? ??????? (Shri Shankar Adhikari)
28,Chopra,INC,Zakir Abedin
29,Islampur,AITC,Kanaia Lal Aggarwal
29,Islampur,BJP,???? ???????? ??? (Shri Chitrajit Roy)
30,Goalpokhar,AITC,Md. Ghulam Rabbani
30,Goalpokhar,BJP,???? ????? ??????? (Shri Sarjit Biswas)
30,Goalpokhar,INC,Masood Md Naseem Ahsen
30,Goalpokhar,LF,JUBER ALAM
31,Chakulia,AITC,Minhajul Arfin Azad
31,Chakulia,BJP,???? ???? ??? (Shri Manoj Jain)
31,Chakulia,INC,Ali Imran Ramz (Victor)
31,Chakulia,LF,AMJAD ALI
