AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
53,Sujapur,Maldah,63.2,0.25,All India Trinamool Congress,0.9473424797144672,All India Trinamool Congress,0.7297110734309937
57,Suti,Murshidabad,33.1,0.25,All India Trinamool Congress,0.967458955421561,All India Trinamool Congress,0.7441579665488399
63,Raninagar,Murshidabad,36.4,0.25,All India Trinamool Congress,0.8985806614340803,All India Trinamool Congress,0.6945226959219283
48,Ratua,Maldah,34.8,0.25,All India Trinamool Congress,0.7279320033097886,All India Trinamool Congress,0.569454586390677
60,Sagardighi,Murshidabad,27.1,0.25,All India Trinamool Congress,0.9853086127942926,All India Trinamool Congress,0.7569429266766732
70,Rejinagar,Murshidabad,32.7,0.25,All India Trinamool Congress,0.9880956554817176,All India Trinamool Congress,0.7589362918174968
56,Samserganj,Murshidabad,14.2,0.25,All India Trinamool Congress,0.9135019976508716,All India Trinamool Congress,0.7053160748131855
69,Bharatpur,Murshidabad,23.1,0.25,All India Trinamool Congress,0.8853115532894779,All India Trinamool Congress,0.6849054297253296
111,Panihati,North Twenty Four Parganas,14.6,0.25,All India Trinamool Congress,0.9710147637074512,All India Trinamool Congress,0.7467073877341975
35,Raiganj,Uttar Dinajpur,13.1,0.25,Bharatiya Janta Party,0.7853516951761353,Bharatiya Janta Party,0.8068489860742565
59,Raghunathganj,Murshidabad,52.4,0.25,All India Trinamool Congress,0.9007082388990042,All India Trinamool Congress,0.6960630666708949
71,Beldanga,Murshidabad,26.5,0.25,All India Trinamool Congress,0.9873726458545448,All India Trinamool Congress,0.7584192511307968
54,Baisnabnagar,Maldah,1.2,0.25,All India Trinamool Congress,0.6409208596029713,All India Trinamool Congress,0.5045084595066531
123,Sandeshkhali,North Twenty Four Parganas,19.5,0.25,All India Trinamool Congress,0.9957130047458824,All India Trinamool Congress,0.764380461461535
33,Hemtabad,Uttar Dinajpur,12.3,0.25,Bharatiya Janta Party,0.5124233335834197,Bharatiya Janta Party,0.574494087769438
46,Harischandrapur,Maldah,38.3,0.25,All India Trinamool Congress,0.9726341824364856,All India Trinamool Congress,0.7478680484215834
55,Farakka,Murshidabad,32.4,0.25,All India Trinamool Congress,0.9889272725783168,All India Trinamool Congress,0.7595309356311674
67,Burwan,Murshidabad,1.6,0.25,All India Trinamool Congress,0.5592669965459537,Bharatiya Janta Party,0.4735983288198837
52,Mothabari,Maldah,35.1,0.25,All India Trinamool Congress,0.9849503888346792,All India Trinamool Congress,0.7566866593380345
34,Kaliaganj,Uttar Dinajpur,9.2,0.25,Bharatiya Janta Party,0.9931695462750176,Bharatiya Janta Party,0.9935988676976087
31,Chakulia,Uttar Dinajpur,19.6,0.25,All India Trinamool Congress,0.8640684627856875,All India Trinamool Congress,0.6694713037733966
61,Lalgola,Murshidabad,32.1,0.25,All India Trinamool Congress,0.9916553646337218,All India Trinamool Congress,0.7614811600178778
50,Maldaha,Maldah,7.6,0.25,Bharatiya Janta Party,0.6980529409648945,Bharatiya Janta Party,0.7338915710100737
49,Manikchak,Maldah,16.5,0.25,All India Trinamool Congress,0.8392061092167399,All India Trinamool Congress,0.6513488453360163
47,Malatipur,Maldah,50.1,0.25,All India Trinamool Congress,0.983715841061505,All India Trinamool Congress,0.7558033865685831
74,Naoda,Murshidabad,36.9,0.25,All India Trinamool Congress,0.93541052328501,All India Trinamool Congress,0.7211227462999467
65,Nabagram,Murshidabad,17.3,0.25,All India Trinamool Congress,0.8213917529088182,All India Trinamool Congress,0.6383246037592757
64,Murshidabad,Murshidabad,1.1,0.25,Bharatiya Janta Party,0.987810747567028,Bharatiya Janta Party,0.9887620062751232
66,Khargram,Murshidabad,17.7,0.25,All India Trinamool Congress,0.9456062481028066,All India Trinamool Congress,0.72846226919077
45,Chanchal,Maldah,33.9,0.25,All India Trinamool Congress,0.8923232507644123,All India Trinamool Congress,0.6899896465503693
28,Chopra,Uttar Dinajpur,32.0,0.25,Bharatiya Janta Party,0.8277931576682583,Bharatiya Janta Party,0.8464116893924533
62,Bhagabangola,Murshidabad,47.6,0.25,All India Trinamool Congress,0.8568981680255543,All India Trinamool Congress,0.6642513088936185
30,Goalpokhar,Uttar Dinajpur,46.1,0.25,All India Trinamool Congress,0.84904717474506,All India Trinamool Congress,0.6585297099366215
