AC_Number,Predicted_Winner,Predicted_Winner_Prob,Actual_Winner,Actual_Party,Total Votes,Poll%,Margin,Margin %,Correct_Prediction,Prediction_Error
1,All India Trinamool Congress,0.88096255,Dadhiram Ray,Bharatiya Janata Party,216733.0,96.6 %,29584.0,13.6%,False,All India Trinamool Congress -> Bharatiya Janata Party
2,Bharatiya Janata Party,0.959859,Nishith Pramanik,Bharatiya Janata Party,240932.0,96.9 %,57090.0,23.7%,True,Bharatiya Janata Party -> Bharatiya Janata Party
3,Bharatiya Janata Party,0.9907212,Sukumar Ray,Bharatiya Janata Party,252356.0,95.9 %,70384.0,27.9%,True,Bharatiya Janata Party -> Bharatiya Janata Party
4,All India Trinamool Congress,0.5370764,Rathindra Bose,Bharatiya Janata Party,203643.0,95.2 %,23284.0,11.4%,False,All India Trinamool Congress -> Bharatiya Janata Party
5,Bharatiya Janata Party,0.9861995,Sabitri Barman,Bharatiya Janata Party,278168.0,97.4 %,25278.0,9.1%,True,Bharatiya Janata Party -> Bharatiya Janata Party
6,Bharatiya Janata Party,0.97557753,Sangita Roy,All India Trinamool Congress,263995.0,96.7 %,2721.0,1.0%,False,Bharatiya Janata Party -> All India Trinamool Congress
7,Bharatiya Janata Party,0.99089605,Ajay Ray,Bharatiya Janata Party,266111.0,96.0 %,17447.0,6.6%,True,Bharatiya Janata Party -> Bharatiya Janata Party
8,Bharatiya Janata Party,0.95136505,Girija Shankar Ray,Bharatiya Janata Party,231603.0,96.5 %,34613.0,14.9%,True,Bharatiya Janata Party -> Bharatiya Janata Party
9,Bharatiya Janata Party,0.9647061,Malati Rava Roy,Bharatiya Janata Party,229408.0,96.5 %,26457.0,11.5%,True,Bharatiya Janata Party -> Bharatiya Janata Party
10,Bharatiya Janata Party,0.9771164,Manoj Kumar Oraon,Bharatiya Janata Party,243903.0,94.0 %,52877.0,21.7%,True,Bharatiya Janata Party -> Bharatiya Janata Party
