AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Flip_Risk
131,Kakdwip,South  Twenty Four Parganas,GEN,Bharatiya Janta Party,0.4491852821694128,Very High
227,Pingla,Paschim Medinipur,GEN,All India Trinamool Congress,0.4968431465366703,High
73,Hariharpara,Murshidabad,GEN,All India Trinamool Congress,0.498488181552835,High
165,Jorasanko,Kolkata,GEN,All India Trinamool Congress,0.5023992291598623,High
229,Debra,Paschim Medinipur,GEN,Bharatiya Janta Party,0.5050382004675853,High
289,Sainthia,Birbhum,SC,All India Trinamool Congress,0.5116395367469025,High
103,Bijpur,North Twenty Four Parganas,GEN,Bharatiya Janta Party,0.5158585217094567,High
235,Keshpur,Paschim Medinipur,SC,Bharatiya Janta Party,0.5170682739494697,High
275,Pandabeswar,Barddhaman,GEN,All India Trinamool Congress,0.5196986664298446,High
54,Baisnabnagar,Maldah,GEN,Bharatiya Janta Party,0.5205693673422165,High
38,Kumarganj,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.5255923397747213,High
208,Mahishadal,Purba Medinipur,GEN,All India Trinamool Congress,0.5279205006840215,High
32,Karandighi,Uttar Dinajpur,GEN,All India Trinamool Congress,0.5364084943459884,High
211,Chandipur,Purba Medinipur,GEN,All India Trinamool Congress,0.5370678519438573,High
212,Patashpur,Purba Medinipur,GEN,Bharatiya Janta Party,0.5428427480499184,High
82,Chapra,Nadia,GEN,All India Trinamool Congress,0.5481150611888225,High
78,Tehatta,Nadia,GEN,Bharatiya Janta Party,0.559355701858366,Medium
264,Kalna,Barddhaman,SC,All India Trinamool Congress,0.5595009792705922,Medium
67,Burwan,Murshidabad,SC,Bharatiya Janta Party,0.5653904133571148,Medium
77,Karimpur,Nadia,GEN,Bharatiya Janta Party,0.5675107223675709,Medium
48,Ratua,Maldah,GEN,All India Trinamool Congress,0.5692692376190583,Medium
285,Suri,Birbhum,GEN,All India Trinamool Congress,0.5717174654529914,Medium
197,Dhanekhali,Hugli,SC,All India Trinamool Congress,0.574687987541608,Medium
84,Nabadwip,Nadia,GEN,Bharatiya Janta Party,0.5880755953077366,Medium
273,Ausgram,Barddhaman,SC,Bharatiya Janta Party,0.594105550534622,Medium
253,Barjora,Bankura,GEN,Bharatiya Janta Party,0.5962801672160536,Medium
98,Swarupnagar,North Twenty Four Parganas,SC,All India Trinamool Congress,0.5965978007852156,Medium
85,Krishnanagar Dakshin,Nadia,GEN,Bharatiya Janta Party,0.5992271345120334,Medium
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.6022839271574237,Medium
279,Jamuria,Barddhaman,GEN,All India Trinamool Congress,0.6038429358751668,Medium
22,Kalimpong,Darjiling,GEN,OTHER,0.6060048904676595,Medium
207,Nandakumar,Purba Medinipur,GEN,Bharatiya Janta Party,0.6098956247374762,Medium
203,Tamluk,Purba Medinipur,GEN,All India Trinamool Congress,0.6103522975450707,Medium
217,Ramnagar,Purba Medinipur,GEN,All India Trinamool Congress,0.6107375755769003,Medium
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.615987154060889,Medium
260,Burdwan Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.6178553628278801,Medium
204,Panskura Purba,Purba Medinipur,GEN,All India Trinamool Congress,0.6271951346602578,Medium
205,Panskura Paschim,Purba Medinipur,GEN,Bharatiya Janta Party,0.6298976946198065,Medium
251,Taldangra,Bankura,GEN,All India Trinamool Congress,0.6478168344861436,Medium
225,Narayangarh,Paschim Medinipur,GEN,All India Trinamool Congress,0.6526976992381113,Low
116,Bidhannagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.6537539159807247,Low
37,Kushmandi,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.6675391192570549,Low
243,Manbazar,Puruliya,ST,All India Trinamool Congress,0.6683943523982813,Low
33,Hemtabad,Uttar Dinajpur,SC,Bharatiya Janta Party,0.6792728195650984,Low
249,Ranibandh,Bankura,ST,Bharatiya Janta Party,0.6843434111357839,Low
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.6854438111797488,Low
219,Dantan,Paschim Medinipur,GEN,Bharatiya Janta Party,0.6910882126137063,Low
65,Nabagram,Murshidabad,SC,All India Trinamool Congress,0.6933966785205016,Low
