AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
53,Sujapur,Maldah,63.2,0.3,0.02,0.12,0.01,0.25
57,Suti,Murshidabad,33.1,0.35,0.02,0.02,0.01,0.25
63,Raninagar,Murshidabad,36.4,0.35,0.02,0.02,0.01,0.25
48,Ratua,Maldah,34.8,0.3,0.02,0.12,0.01,0.25
60,Sagardighi,Murshidabad,27.1,0.35,0.02,0.02,0.01,0.25
70,Rejinagar,Murshidabad,32.7,0.35,0.02,0.02,0.01,0.25
56,Samserganj,Murshidabad,14.2,0.35,0.02,0.02,0.01,0.25
69,Bharatpur,Murshidabad,23.1,0.35,0.02,0.02,0.01,0.25
111,Panihati,North Twenty Four Parganas,14.6,0.05,0.12,0.04,0.08,0.25
35,Raiganj,Uttar Dinajpur,13.1,0.28,0.02,0.02,0.01,0.25
59,Raghunathganj,Murshidabad,52.4,0.35,0.02,0.02,0.01,0.25
71,Beldanga,Murshidabad,26.5,0.35,0.02,0.02,0.01,0.25
54,Baisnabnagar,Maldah,1.2,0.3,0.02,0.12,0.01,0.25
123,Sandeshkhali,North Twenty Four Parganas,19.5,0.05,0.05,0.04,0.15,0.25
33,Hemtabad,Uttar Dinajpur,12.3,0.28,0.02,0.02,0.01,0.25
46,Harischandrapur,Maldah,38.3,0.3,0.02,0.12,0.01,0.25
55,Farakka,Murshidabad,32.4,0.35,0.02,0.02,0.01,0.25
67,Burwan,Murshidabad,1.6,0.35,0.02,0.02,0.01,0.25
52,Mothabari,Maldah,35.1,0.3,0.02,0.12,0.01,0.25
34,Kaliaganj,Uttar Dinajpur,9.2,0.28,0.02,0.02,0.01,0.25
31,Chakulia,Uttar Dinajpur,19.6,0.28,0.02,0.02,0.01,0.25
61,Lalgola,Murshidabad,32.1,0.35,0.02,0.02,0.01,0.25
50,Maldaha,Maldah,7.6,0.3,0.02,0.12,0.01,0.25
49,Manikchak,Maldah,16.5,0.3,0.02,0.12,0.01,0.25
47,Malatipur,Maldah,50.1,0.3,0.02,0.12,0.01,0.25
74,Naoda,Murshidabad,36.9,0.35,0.02,0.02,0.01,0.25
65,Nabagram,Murshidabad,17.3,0.35,0.02,0.02,0.01,0.25
64,Murshidabad,Murshidabad,1.1,0.35,0.02,0.02,0.01,0.25
66,Khargram,Murshidabad,17.7,0.35,0.02,0.02,0.01,0.25
45,Chanchal,Maldah,33.9,0.3,0.02,0.12,0.01,0.25
