AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9793282,0.017617881,0.0008228392001518,0.9793282,0.9980752907699024,0.0030539294,0.0011018700299458,,,,,0,0
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9883273,0.9883273,0.7716991706351884,0.0104704825,0.2202432771497196,0.0012022321,0.008057552215092,Peerzada Kasem Siddiqui,???? ?????? ?? (Shri Arindam Dey),Gopal Ghosh,,0,0
181,Amta,Haora,GEN,All India Trinamool Congress,0.98946,0.98946,0.7975973292300469,0.008750321,0.1900194942067367,0.0017896951,0.0123831765632164,Sukanta Paul,???? ???? ????? (Shri Amit Samanta),Tapan Das,JOSHIMUDDIN MALLICK,0,0
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.94009584,0.059456214,0.0028894914624951,0.94009584,0.9969423332598806,0.00044794832,0.0001681752776242,,,,,0,0
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.962441,0.03549887,0.001686183232148,0.962441,0.9975578616795578,0.002060135,0.0007559550882939,,,,,0,0
281,Asansol Uttar,Barddhaman,GEN,All India Trinamool Congress,0.9148675,0.9148675,0.288898318352135,0.08286925,0.7049672566412858,0.002263182,0.0061344250065791,Moloy Ghatak,???? ????????? ??????? (Shri Krishnendu Mukherjee),Prasenjit Puitandi,AKHILESH KUMAR SINGH,0,0
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.98741865,0.98741865,0.7536860831559237,0.011696936,0.240519342310349,0.00088443275,0.0057945745337273,Narayan Goswami,??. ????? ???? (Dr. Somoy Hira),,,0,0
273,Ausgram,Barddhaman,SC,All India Trinamool Congress,0.94752645,0.94752645,0.4034226908825832,0.051797155,0.594105550534622,0.0006763469,0.0024717585827946,,,,,0,0
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9961825,0.9961825,0.909851560413996,0.0035920003,0.0883805548969341,0.00022550425,0.0017678846890698,Burhanul Mokaddin (Liton),???? ?????? ????? (Shri Sukriti ?????),,,0,0
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9977919,0.0017024197,7.817017053548969e-05,0.9977919,0.9997424654624952,0.00050565193,0.000179364366969,,,,,0,0
