AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9967922143017922,0.0015076863138948832,0.9967922143017922,0.0017000993843128834
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7425249902511574,0.7425249902511574,0.22544970465241357,0.032025305096429056
181,Amta,Haora,GEN,All India Trinamool Congress,0.7312637583890415,0.7312637583890415,0.22672959218530936,0.042006649425649224
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.9944011032870188,0.005155314182549831,0.9944011032870188,0.00044358253043124925
280,Asnsol Dakshin,Barddhaman,GEN,Bharatiya Janta Party,0.9958058146209284,0.0029116269788625826,0.9958058146209284,0.001282558400209011
281,Asansol Uttar,Barddhaman,GEN,Bharatiya Janta Party,0.6063059173397535,0.367882862679415,0.6063059173397535,0.025811219980831582
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7096282019855963,0.7096282019855963,0.2543769704107911,0.03599482760361272
273,Ausgram,Barddhaman,SC,All India Trinamool Congress,0.49528286376794084,0.49528286376794084,0.486456946588017,0.018260189644042118
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7869191857822239,0.7869191857822239,0.17724683395237847,0.035833980265397615
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9995861355692603,0.00013761650328445918,0.9995861355692603,0.0002762479274551838
240,Baghmundi,Puruliya,GEN,All India Trinamool Congress,0.6712347921756782,0.6712347921756782,0.309867761847482,0.01889744597683991
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.8196928972949429,0.8196928972949429,0.14363888935115748,0.036668213353899526
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.9960520480905424,0.002004665253116682,0.9960520480905424,0.0019432866563409614
54,Baisnabnagar,Maldah,GEN,All India Trinamool Congress,0.5380174673239294,0.5380174673239294,0.43134957516466665,0.03063295751140389
191,Balagarh,Hugli,SC,Bharatiya Janta Party,0.5863163918207845,0.390720967601496,0.5863163918207845,0.022962640577719445
239,Balarampur,Puruliya,GEN,Bharatiya Janta Party,0.9950431635075369,0.004290622961558237,0.9950431635075369,0.0006662135309047937
169,Bally,Haora,GEN,All India Trinamool Congress,0.7200989087213169,0.7200989087213169,0.20248158794470447,0.07741950333397864
161,Ballygunge,Kolkata,GEN,All India Trinamool Congress,0.7728951468215234,0.7728951468215234,0.17843070530076507,0.04867414787771167
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.6368798152319155,0.6368798152319155,0.286189792517324,0.07693039225076062
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.714058214314156,0.714058214314156,0.25541488128787593,0.030526904397968155
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9981582015262866,0.0015701957513131251,0.9981582015262866,0.0002716027224003208
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9987876428185801,0.0009865973699363145,0.9987876428185801,0.00022575981148358486
252,Bankura,Bankura,GEN,Bharatiya Janta Party,0.997304689744631,0.0022033312624333357,0.997304689744631,0.0004919789929356147
283,Barabani,Barddhaman,GEN,All India Trinamool Congress,0.7355124352406699,0.7355124352406699,0.22295801313240854,0.041529551626921624
113,Baranagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7906852516337763,0.7906852516337763,0.16295794960648735,0.046356798759736306
119,Barasat,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7924436869977951,0.7924436869977951,0.16183849810596207,0.04571781489624285
