AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob
1,Mekliganj,Koch Bihar,SC,All India Trinamool Congress,0.88096255
2,Mathabhanga,Koch Bihar,SC,Bharatiya Janta Party,0.959859
3,Coochbehar Uttar,Koch Bihar,SC,Bharatiya Janta Party,0.9907212
4,Cooch Behar Dakshin,Koch Bihar,GEN,All India Trinamool Congress,0.5370764
5,Sitalkuchi,Koch Bihar,SC,Bharatiya Janta Party,0.9861995
6,Sitai,Koch Bihar,SC,Bharatiya Janta Party,0.97557753
7,Dinhata,Koch Bihar,GEN,Bharatiya Janta Party,0.99089605
8,Natabari,Koch Bihar,GEN,Bharatiya Janta Party,0.95136505
9,Tufanganj,Koch Bihar,GEN,Bharatiya Janta Party,0.9647061
10,Kumargram,Jalpaiguri,ST,Bharatiya Janta Party,0.9771164
11,Kalchini,Jalpaiguri,ST,Bharatiya Janta Party,0.98951334
12,Alipurduars,Jalpaiguri,GEN,Bharatiya Janta Party,0.9793282
13,Falakata,Jalpaiguri,SC,Bharatiya Janta Party,0.98350185
14,Madarihat,Jalpaiguri,ST,Bharatiya Janta Party,0.91806936
15,Dhupguri,Jalpaiguri,SC,Bharatiya Janta Party,0.9793052
16,Maynaguri,Jalpaiguri,SC,Bharatiya Janta Party,0.9798481
17,Jalpaiguri,Jalpaiguri,SC,All India Trinamool Congress,0.8266515
18,Rajganj,Jalpaiguri,SC,Bharatiya Janta Party,0.9036522
19,Dabgram-Fulbari,Jalpaiguri,GEN,Bharatiya Janta Party,0.9866463
20,Mal,Jalpaiguri,ST,Bharatiya Janta Party,0.64562565
21,Nagrakata,Jalpaiguri,ST,Bharatiya Janta Party,0.985743
22,Kalimpong,Darjiling,GEN,OTHER,0.7435723
23,Darjeeling,Darjiling,GEN,Bharatiya Janta Party,0.9934087
24,Kurseong,Darjiling,GEN,Bharatiya Janta Party,0.97909
25,Matigara-Naxalbari,Darjiling,SC,Bharatiya Janta Party,0.9570841
26,Siliguri,Darjiling,GEN,All India Trinamool Congress,0.7026747
27,Phansidewa,Darjiling,ST,Bharatiya Janta Party,0.97903466
28,Chopra,Uttar Dinajpur,GEN,All India Trinamool Congress,0.72440284
29,Islampur,Uttar Dinajpur,GEN,All India Trinamool Congress,0.9851291
30,Goalpokhar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.9823685
31,Chakulia,Uttar Dinajpur,GEN,All India Trinamool Congress,0.98541915
32,Karandighi,Uttar Dinajpur,GEN,All India Trinamool Congress,0.96822864
33,Hemtabad,Uttar Dinajpur,SC,All India Trinamool Congress,0.9189665
34,Kaliaganj,Uttar Dinajpur,SC,Bharatiya Janta Party,0.95161825
35,Raiganj,Uttar Dinajpur,GEN,All India Trinamool Congress,0.746652
36,Itahar,Uttar Dinajpur,GEN,All India Trinamool Congress,0.99507695
37,Kushmandi,Dakshin Dinajpur,SC,All India Trinamool Congress,0.9101039
38,Kumarganj,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.9653495
39,Balurghat,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.9681054
40,Tapan,Dakshin Dinajpur,ST,Bharatiya Janta Party,0.9516168
41,Gangarampur,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.906603
